dist_m,el_m
29226.52763,-3.660428047
29578.65447,-4.176465034
29930.78131,-4.284506321
30282.90815,-2.313077688
30635.03499,1.888205767
30987.16182,3.486022472
31339.28866,29.88426971
31691.4155,56.11908722
32043.54234,51.17537308
32395.66918,20.85547829
32747.79602,6.561571121
33099.92286,5.674402237
33452.0497,2.997588873
33804.17654,-2.551589966
34156.30337,-8.751390457
34508.43021,-10.0000267
34860.55705,-10.52632427
35212.68389,-11.32345486
35564.81073,-13.8614254
35916.93757,-15.1944313
36269.06441,-16.32408524
36621.19125,-17.17429733
36973.31809,-18.40842438
37325.44493,-18.80207825
37677.57176,-19.1102066
38029.6986,-19.13671875
38381.82544,-19.68292618
38733.95228,-19.77098846
39086.07912,-19.80785561
39438.20596,-19.57143784
39790.3328,-19.63277054
40142.45964,-19.49656677
40494.58648,-19.33306885
40846.71331,-18.87434769
41198.84015,-18.74646378
41550.96699,-18.54211235
41903.09383,-18.34571457
42255.22067,-17.87834549
42607.34751,-17.86836052
42959.47435,-18.01596832
43311.60119,-17.93360138
43663.72803,-17.88516808
44015.85486,-17.89417839
44367.9817,-17.94679642
44720.10854,-18.02496719
45072.23538,-18.11820984
45424.36222,-18.3048954
45776.48906,-18.37015533
46128.6159,-18.38934326
46480.74274,-18.34150124
46832.86958,-18.0369854
47184.99641,-17.826931
47537.12325,-17.61466599
47889.25009,-17.41156387
48241.37693,-17.0144043
48593.50377,-16.78503799
48945.63061,-16.52882957
49297.75745,-16.25449944
49649.88429,-15.69297028
50002.01113,-15.4062376
50354.13797,-15.09688663
50706.2648,-14.75780487
51058.39164,-15.66671181
51410.51848,-14.646101
51762.64532,-14.49608803
52114.77216,-14.4403038
52466.899,-14.86913395
52819.02584,-13.01209164
53171.15268,-12.96093273
53523.27952,-13.32024574
53875.40635,-10.00215435
54227.53319,-10.1795311
54579.66003,-10.96230698
54931.78687,-10.8486166
55283.91371,-12.12551117
55636.04055,-9.434240341
55988.16739,-10.00579357
56340.29423,-18.43980789
56692.42107,-25.09576416
57044.5479,-37.83670425
57396.67474,-45.36751938
57748.80158,-52.27941513
58100.92842,-54.79854584
58453.05526,-57.27101135
58805.1821,-59.08551025
59157.30894,-60.93895721
59509.43578,-61.90459442
59861.56262,-63.46027374
60213.68945,-65.62820435
60565.81629,-68.39051819
60917.94313,-69.64341736
61270.06997,-71.56542206
61622.19681,-73.34771729
61974.32365,-76.13238525
62326.45049,-77.75466919
62678.57733,-79.08234406
63030.70417,-81.03852844
63382.831,-83.60231781
63734.95784,-85.10998535
64087.08468,-86.60754395
64439.21152,-88.7348175
64791.33836,-91.35494995
65143.4652,-92.96994781
65495.59204,-94.40525818
65847.71888,-96.6375885
66199.84572,-99.34251404
66551.97256,-101.1275253
66904.09939,-102.8326797
67256.22623,-105.3714752
67608.35307,-107.4881973
67960.47991,-109.3906097
68312.60675,-111.1566696
68664.73359,-112.9241104
69016.86043,-116.5996246
69368.98727,-118.4697495
69721.11411,-120.2520523
70073.24094,-122.0971603
70425.36778,-125.9171753
70777.49462,-127.8722458
71129.62146,-129.9007111
71481.7483,-131.8930969
71833.87514,-135.795166
72186.00198,-137.2383728
72538.12882,-138.52771
72890.25566,-139.4520874
73242.38249,-141.7432709
73594.50933,-144.0792542
73946.63617,-146.7399597
